num	um_per_hour	timepoint_start	timepoint_end
0	14.5641	11.7627	15.2618
1	21.9730	16.2631	20.9284
2	5.4840	16.9290	18.5955
3	20.1990	16.9290	20.5945
4	17.4164	17.5952	20.0951
5	15.0839	18.2616	20.4287
6	13.0325	18.2616	20.0951
7	10.5138	18.4278	20.0951
8	21.4209	18.5955	21.2613
9	8.6104	18.5955	20.2617
10	9.8003	18.9290	20.0951
11	13.1845	20.4287	21.4287
12	16.9946	20.5945	22.0947
13	26.5058	20.5945	21.2613
14	18.3581	21.0945	21.7606
15	13.3821	21.2613	22.2613
16	18.0910	21.2613	22.4283
17	28.1067	21.2613	22.4283
18	12.7263	21.4287	22.4283